,equation,energy,concentration,exponent,value
0,ED,1.00kT,10然,coeff1,167721.94830492506
1,ED,1.00kT,20然,coeff1,304434.9364214495
2,ED,1.00kT,40然,coeff1,589124.7420767252
3,ED,1.00kT,60然,coeff1,1024019.445557955
4,ED,2.80kT,10然,coeff1,197949.72213238495
5,ED,2.80kT,20然,coeff1,312716.17838539265
6,ED,2.80kT,40然,coeff1,463805.7085784375
7,ED,2.80kT,60然,coeff1,629600.1007547594
8,ED,3.00kT,10然,coeff1,161125.01724708296
9,ED,3.00kT,20然,coeff1,241795.61021351305
10,ED,3.00kT,40然,coeff1,299461.1133370342
11,ED,3.00kT,60然,coeff1,325487.2532077859
12,ED,3.50kT,10然,coeff1,57859.23273729206
13,ED,3.50kT,20然,coeff1,32681.94868303906
14,ED,3.50kT,40然,coeff1,28472.553129884596
15,ED,3.50kT,60然,coeff1,27869.44570598081
16,ED,4.00kT,10然,coeff1,2658.03663669432
17,ED,4.00kT,20然,coeff1,2739.6947541949394
18,ED,4.00kT,40然,coeff1,1883.6406996052635
19,ED,4.00kT,60然,coeff1,1905.3916635216017
20,DED,1.00kT,10然,coeff1,127315.74255662588
21,DED,1.00kT,20然,coeff1,211208.7713442604
22,DED,1.00kT,40然,coeff1,344758.9126271949
23,DED,1.00kT,60然,coeff1,488045.5711343309
24,DED,2.80kT,10然,coeff1,152145.76534482182
25,DED,2.80kT,20然,coeff1,91054.72035627572
26,DED,2.80kT,40然,coeff1,100831.55873232752
27,DED,2.80kT,60然,coeff1,639434.2209557844
28,DED,3.00kT,10然,coeff1,75642.9812915068
29,DED,3.00kT,20然,coeff1,198638.9639091117
30,DED,3.00kT,40然,coeff1,71679.91540232145
31,DED,3.00kT,60然,coeff1,84180.69813112868
32,DED,3.50kT,10然,coeff1,29894.457503644637
33,DED,3.50kT,20然,coeff1,6440.286883721994
34,DED,3.50kT,40然,coeff1,6385.929377294321
35,DED,3.50kT,60然,coeff1,25852.31024406185
36,DED,4.00kT,10然,coeff1,2244.817233038258
37,DED,4.00kT,20然,coeff1,2397.003563590283
38,DED,4.00kT,40然,coeff1,831.2750325439437
39,DED,4.00kT,60然,coeff1,1601.5733391983704
40,TED,1.00kT,10然,coeff1,26170.77086161071
41,TED,1.00kT,20然,coeff1,60285.69020358155
42,TED,1.00kT,40然,coeff1,116673.2765619821
43,TED,1.00kT,60然,coeff1,187418.4675565589
44,TED,2.80kT,10然,coeff1,47818.422504893206
45,TED,2.80kT,20然,coeff1,32044.14143566436
46,TED,2.80kT,40然,coeff1,52540.625036596844
47,TED,2.80kT,60然,coeff1,83221.41108071156
48,TED,3.00kT,10然,coeff1,20313.856927487504
49,TED,3.00kT,20然,coeff1,22247.26657655892
50,TED,3.00kT,40然,coeff1,40357.09092794697
51,TED,3.00kT,60然,coeff1,55393.21293541232
52,TED,3.50kT,10然,coeff1,9376.649573865488
53,TED,3.50kT,20然,coeff1,2717.44967032009
54,TED,3.50kT,40然,coeff1,2423.7052359164763
55,TED,3.50kT,60然,coeff1,2665.106219204957
56,TED,4.00kT,10然,coeff1,195.7641290025101
57,TED,4.00kT,20然,coeff1,434.2979606492158
58,TED,4.00kT,40然,coeff1,320.7498503082216
59,TED,4.00kT,60然,coeff1,309.92094159700133
60,QED,1.00kT,10然,coeff1,26170.754044080066
61,QED,1.00kT,20然,coeff1,33595.69109646383
62,QED,1.00kT,40然,coeff1,50624.15321713943
63,QED,1.00kT,60然,coeff1,115560.85991488396
64,QED,2.80kT,10然,coeff1,9244.921446713695
65,QED,2.80kT,20然,coeff1,23137.942615265856
66,QED,2.80kT,40然,coeff1,42765.67249929527
67,QED,2.80kT,60然,coeff1,68068.76881589447
68,QED,3.00kT,10然,coeff1,20313.804014354995
69,QED,3.00kT,20然,coeff1,233.8981491989664
70,QED,3.00kT,40然,coeff1,35971.21209870627
71,QED,3.00kT,60然,coeff1,52264.892835634266
72,QED,3.50kT,10然,coeff1,404.5524403849768
73,QED,3.50kT,20然,coeff1,619.20578370354
74,QED,3.50kT,40然,coeff1,446.3179674462435
75,QED,3.50kT,60然,coeff1,755.3860437975288
76,QED,4.00kT,10然,coeff1,13.66664704309846
77,QED,4.00kT,20然,coeff1,166.9430804799331
78,QED,4.00kT,40然,coeff1,52.07264702461377
79,QED,4.00kT,60然,coeff1,178.48992275205782
80,PED,1.00kT,10然,coeff1,12949.568722984504
